ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Manufacturer;Quantity;Minimal quantity;Visibility;Short description;Description;Tags (x,y,z...);Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);Condition
1;1;CAMISA PL OXFORD MANGA CORTA;CAMISAS;$ 19.990 ;1;$ 19.990 ;1;5051;POLO RALPH LAUREN;1;1;;Texto de muestra para describir el producto;;POLO RALPH LAUREN;Disponible;;;;NEW
2;1;CAMISA LC RAYAS-CUADROS MANGA CORTA;CAMISAS;$ 19.990 ;1;$ 19.990 ;1;5058;LACOSTE;1;1;;Texto de muestra para describir el producto;;LACOSTE;Disponible;;;;NEW
3;1;CAMISA A F OXFORD MANGA LARGA;CAMISAS;$ 19.990 ;1;$ 19.990 ;1;5065;ABERCROMBIE;1;1;;Texto de muestra para describir el producto;;ABERCROMBIE;Disponible;;;;NEW
4;1;BOXER TM;BOXER;$ 17.990 ;1;$ 17.990 ;1;7123;TOMMY HILFIGER;1;1;;Texto de muestra para describir el producto;;TOMMY HILFIGER;Disponible;;;;NEW
5;1;BOXER VRS;BOXER;$ 17.990 ;1;$ 17.990 ;1;7124;VERSACE;1;1;;Texto de muestra para describir el producto;;VERSACE;Disponible;;;;NEW
6;1;BOXER HB;BOXER;$ 17.990 ;1;$ 17.990 ;1;7140;HUGO BOSS;1;1;;Texto de muestra para describir el producto;;HUGO BOSS;Disponible;;;;NEW
7;1;BOXER A/X;BOXER;$ 17.990 ;1;$ 17.990 ;1;7141;ARMANI EXCHANGE;1;1;;Texto de muestra para describir el producto;;ARMANI EXCHANGE;Disponible;;;;NEW
8;1;BOXER C-K;BOXER;$ 17.990 ;1;$ 17.990 ;1;7154;CALVIN KLEIN;1;1;;Texto de muestra para describir el producto;;CALVIN KLEIN;Disponible;;;;NEW
9;1;BOXER GS;BOXER;$ 18.000 ;1;$ 18.000 ;1;7189;GUESS;1;1;;Texto de muestra para describir el producto;;GUESS;Disponible;;;;NEW
10;1;GAFAS SPY+;GAFAS;$ 24.990 ;1;$ 24.990 ;1;7264;SPY;1;1;;Texto de muestra para describir el producto;;SPY;Disponible;;;;NEW
11;1;JEAN DS 11328;JEANS;$ 89.990 ;1;$ 89.990 ;1;11328;DIESEL;1;1;;Texto de muestra para describir el producto;;DIESEL;Disponible;;;;NEW
