ID;Nombre;Descripción;Posición;Mostrados;
3;Amor;Encuentra los mejores ramos para enamorar y decirle a esa persona especial que la amas.;1;1;
4;Cumpleaños;Celebra ese día especial, con una regalo super especial.;2;1;
5;Ocasiones;Tenemos ramos para diferentes fechas y ocasiones.;3;1;
12;Condolencias;Momentos dificiles?... Expresa tu sentimiento de apoyo en esta situación.;4;1;
26;Detalles;;5;1;
27;Todos los productos;;6;1;
