ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Manufacturer;Quantity;Minimal quantity;Visibility;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);Condition
70;1;CAMISETA PORSCHE P911 NEGRO M;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00003E+12;PORSCHE;1;1;;;;PORSCHE;;;;Disponible;;;;Nuevo
71;1;CAMISETA AYF REF: 6072;CAMISETAS;$ 44.990 ;1;$ 44.990 ;1;6,00003E+12;ABERCROMBIE;1;1;;;;ABERCROMBIE;;;;Disponible;;;;Nuevo
72;1;CAMISETA TAPOUT BREAK BLANCO XL;CAMISETAS;$ 39.990 ;1;$ 39.990 ;1;6,00003E+12;TAPOUT;1;1;;;;TAPOUT;;;;Disponible;;;;Nuevo
73;1;CAMISETA TM M012 ROJO TALLA M;CAMISETAS;$ 69.990 ;1;$ 69.990 ;1;6,00003E+12;TOMMY HILFIGER;1;1;;;;TOMMY HILFIGER;;;;Disponible;;;;Nuevo
74;1;CAMISETA METAL OBSERVATION NEGRO TALLA M;CAMISETAS;$ 39.900 ;1;$ 39.900 ;1;6,00003E+12;METAL MULISHA;1;1;;;;METAL MULISHA;;;;Disponible;;;;Nuevo
75;1;Camiseta SWAG Ref: Facebook Rojo Talla M;CAMISETAS;$ 39.990 ;1;$ 39.990 ;1;6,00003E+12;SWAG;1;1;;;;SWAG;;;;Disponible;;;;Nuevo
76;1;CAMISETA KLEY 3010 AZUL OSC S;CAMISETAS;$ 39.990 ;1;$ 39.990 ;1;6,00004E+12;OAKLEY;1;1;;;;OAKLEY;;;;Disponible;;;;Nuevo
77;1;CAMISETA HL G-72 AZUL REY L;CAMISETAS;$ 39.990 ;1;$ 39.990 ;1;6,00004E+12;HOLLISTER;1;1;;;;HOLLISTER;;;;Disponible;;;;Nuevo
78;1;CAMISETA OLD NAVI CALIFORNIA BLANCO S;CAMISETAS;$ 37.990 ;1;$ 37.990 ;1;6,00004E+12;OLD NAVY;1;1;;;;OLD NAVY;;;;Disponible;;;;Nuevo
79;1;CAMISETA CONVERSE BOSTON ROJO S;CAMISETAS;$ 37.990 ;1;$ 37.990 ;1;6,00004E+12;CONVERSE;1;1;;;;CONVERSE;;;;Disponible;;;;Nuevo
80;1;CAMISETA CONVERSE BOSTON AZUL REY XL;CAMISETAS;$ 37.990 ;1;$ 37.990 ;1;6,00004E+12;CONVERSE;1;1;;;;CONVERSE;;;;Disponible;;;;Nuevo
81;1;CAMISETA CHEVI LONDON AGUAMARINA TALLA XL;CAMISETAS;$ 39.990 ;1;$ 39.990 ;1;6,00004E+12;CHEVIGNON;1;1;;;;CHEVIGNON;;;;Disponible;;;;Nuevo
82;1;CAMISETA BANDA MARINE AZUL REY S;CAMISETAS;$ 54.990 ;1;$ 54.990 ;1;6,00004E+12;TECHNOMARINE;1;1;;;;TECHNOMARINE;;;;Disponible;;;;Nuevo
83;1;CAMIBUSO MARINE BLANCO L;BUSO;$ 59.990 ;1;$ 59.990 ;1;6,00004E+12;TECHNOMARINE;1;1;;;;TECHNOMARINE;;;;Disponible;;;;Nuevo
84;1;CAMISETA MADNESS LIMITS NEGRO L;CAMISETAS;$ 39.990 ;1;$ 39.990 ;1;6,00004E+12;MADNESS;1;1;;;;MADNESS;;;;Disponible;;;;Nuevo
85;1;CAMISETA TM 1229 VERDE XXL;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00005E+12;TOMMY HILFIGER;1;1;;;;TOMMY HILFIGER;;;;Disponible;;;;Nuevo
86;1;CAMISETA AERO 805 GRIS L;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00005E+12;AEROPOSTALE;1;1;;;;AEROPOSTALE;;;;Disponible;;;;Nuevo
87;1;CAMISETA PORSCHE P988 BLANCO TALLA M;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00005E+12;PORSCHE;1;1;;;;PORSCHE;;;;Disponible;;;;Nuevo
88;1;CAMISETA BMW M3 NEGRO TALLA M;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00005E+12;BMW;1;1;;;;BMW;;;;Disponible;;;;Nuevo
89;1;CAMISETA AD 111 FUCSIA L;CAMISETAS;$ 37.990 ;1;$ 37.990 ;1;6,00005E+12;ADIDAS;1;1;;;;ADIDAS;;;;Disponible;;;;Nuevo
90;1;CAMISETA GLOTT 0038 BLANCO M;CAMISETAS;$ 41.990 ;1;$ 41.990 ;1;6,00005E+12;GLOTT;1;1;;;;GLOTT;;;;Disponible;;;;Nuevo
91;1;CAMISETA KLEY CHAOS ROJO S;CAMISETAS;$ 39.990 ;1;$ 39.990 ;1;6,00005E+12;OAKLEY;1;1;;;;OAKLEY;;;;Disponible;;;;Nuevo
92;1;CAMIBUSO DS RAYADO BLANCO XL;BUSO;$ 39.990 ;1;$ 39.990 ;1;6,00006E+12;DIESEL;1;1;;;;DIESEL;;;;Disponible;;;;Nuevo
93;1;CAMISETA TM CRUZ BLANCO L;CAMISETAS;$ 59.990 ;1;$ 59.990 ;1;6,00006E+12;TOMMY HILFIGER;1;1;;;;TOMMY HILFIGER;;;;Disponible;;;;Nuevo
